date,population shift,patients
2019/1/1,763132,0
2019/1/2,470793,0
2019/1/3,327023,0
2019/1/4,239518,0
2019/1/5,178265,0
2019/1/6,322190,0
2019/1/7,323646,0
2019/1/8,273804,0
2019/1/9,291886,0
2019/1/10,249643,0
2019/1/11,212669,0
2019/1/12,133745,0
2019/1/13,383455,0
2019/1/14,344820,0
2019/1/15,275159,0
2019/1/16,283680,0
2019/1/17,270965,0
2019/1/18,238048,0
2019/1/19,105680,0
2019/1/20,261338,0
2019/1/21,338724,0
2019/1/22,259317,0
2019/1/23,336417,0
2019/1/24,322277,0
2019/1/25,17427,0
2019/1/26,91685,0
2019/1/27,268852,0
2019/1/28,176898,0
2019/1/29,144306,0
2019/1/30,64361,0
2019/1/31,-19682,0
2019/2/1,-167449,0
2019/2/2,-231129,0
2019/2/3,-214200,0
2019/2/4,-96090,0
2019/2/5,65269,0
2019/2/6,110320,0
2019/2/7,296457,0
2019/2/8,408120,0
2019/2/9,542841,0
2019/2/10,820312,0
2019/2/11,606579,0
2019/2/12,460415,0
2019/2/13,486668,0
2019/2/14,350468,0
2019/2/15,282934,0
2019/2/16,278568,0
2019/2/17,495222,0
2019/2/18,370661,0
2019/2/19,264176,0
2019/2/20,492976,0
2019/2/21,462696,0
2019/2/22,394859,0
2019/2/23,200684,0
2019/2/24,362023,0
2019/2/25,286928,0
2019/2/26,232656,0
2019/2/27,176071,0
2019/2/28,243403,0
2019/3/1,185990,0
2019/3/2,121904,0
2019/3/3,347141,0
2019/3/4,763132,0
2019/3/5,470793,0
2019/3/6,327023,0
2019/3/7,239518,0
2019/3/8,178265,0
2019/3/9,322190,0
2019/3/10,323646,0
2019/3/11,273804,0
2019/3/12,291886,0
2019/3/13,249643,0
2019/3/14,212669,0
2019/3/15,133745,0
2019/3/16,383455,0
2019/3/17,344820,0
2019/3/18,275159,0
2019/3/19,283680,0
2019/3/20,270965,0
2019/3/21,238048,0
2019/3/22,105680,0
2019/3/23,261338,0
2019/3/24,338724,0
2019/3/25,259317,0
2019/3/26,336417,0
2019/3/27,322277,0
2019/3/28,17427,0
2019/3/29,91685,0
2019/3/30,268852,0
2019/3/31,176898,0
2019/4/1,144306,0
2019/4/2,64361,0
2019/4/3,-19682,0
2019/4/4,-167449,0
2019/4/5,-231129,0
2019/4/6,-214200,0
2019/4/7,-96090,0
2019/4/8,65269,0
2019/4/9,110320,0
2019/4/10,296457,0
2019/4/11,408120,0
2019/4/12,542841,0
2019/4/13,820312,0
2019/4/14,606579,0
2019/4/15,460415,0
2019/4/16,486668,0
2019/4/17,350468,0
2019/4/18,282934,0
2019/4/19,278568,0
2019/4/20,495222,0
2019/4/21,370661,0
2019/4/22,264176,0
2019/4/23,492976,0
2019/4/24,462696,0
2019/4/25,394859,0
2019/4/26,200684,0
2019/4/27,362023,0
2019/4/28,286928,0
2019/4/29,232656,0
2019/4/30,176071,0
2019/5/1,243403,0
2019/5/2,185990,0
2019/5/3,121904,0
2019/5/4,347141,0
2019/5/5,763132,0
2019/5/6,470793,0
2019/5/7,327023,0
2019/5/8,239518,0
2019/5/9,178265,0
2019/5/10,322190,0
2019/5/11,323646,0
2019/5/12,273804,0
2019/5/13,291886,0
2019/5/14,249643,0
2019/5/15,212669,0
2019/5/16,133745,0
2019/5/17,383455,0
2019/5/18,344820,0
2019/5/19,275159,0
2019/5/20,283680,0
2019/5/21,270965,0
2019/5/22,238048,0
2019/5/23,105680,0
2019/5/24,261338,0
2019/5/25,338724,0
2019/5/26,259317,0
2019/5/27,336417,0
2019/5/28,322277,0
2019/5/29,17427,0
2019/5/30,91685,0
2019/5/31,268852,0
2019/6/1,176898,0
2019/6/2,144306,0
2019/6/3,64361,0
2019/6/4,-19682,0
2019/6/5,-167449,0
2019/6/6,-231129,0
2019/6/7,-214200,0
2019/6/8,-96090,0
2019/6/9,65269,0
2019/6/10,110320,0
2019/6/11,296457,0
2019/6/12,408120,0
2019/6/13,542841,0
2019/6/14,820312,0
2019/6/15,606579,0
2019/6/16,460415,0
2019/6/17,486668,0
2019/6/18,350468,0
2019/6/19,282934,0
2019/6/20,278568,0
2019/6/21,495222,0
2019/6/22,370661,0
2019/6/23,264176,0
2019/6/24,492976,0
2019/6/25,462696,0
2019/6/26,394859,0
2019/6/27,200684,0
2019/6/28,362023,0
2019/6/29,286928,0
2019/6/30,232656,0
2019/7/1,176071,0
2019/7/2,243403,0
2019/7/3,185990,0
2019/7/4,121904,0
2019/7/5,347141,0
2019/7/6,763132,0
2019/7/7,470793,0
2019/7/8,327023,0
2019/7/9,239518,0
2019/7/10,178265,0
2019/7/11,322190,0
2019/7/12,323646,0
2019/7/13,273804,0
2019/7/14,291886,0
2019/7/15,249643,0
2019/7/16,212669,0
2019/7/17,133745,0
2019/7/18,383455,0
2019/7/19,344820,0
2019/7/20,275159,0
2019/7/21,283680,0
2019/7/22,270965,0
2019/7/23,238048,0
2019/7/24,105680,0
2019/7/25,261338,0
2019/7/26,338724,0
2019/7/27,259317,0
2019/7/28,336417,0
2019/7/29,322277,0
2019/7/30,17427,0
2019/7/31,91685,0
2019/8/1,268852,0
2019/8/2,176898,0
2019/8/3,144306,0
2019/8/4,64361,0
2019/8/5,-19682,0
2019/8/6,-167449,0
2019/8/7,-231129,0
2019/8/8,-214200,0
2019/8/9,-96090,0
2019/8/10,65269,0
2019/8/11,110320,0
2019/8/12,296457,0
