date,population shift,patients
2022/02/20,0,2.0
2022/02/21,0,2.0
2022/02/22,0,2.0
2022/02/23,0,2.0
2022/02/24,0,3.0
2022/02/25,0,4.0
2022/02/26,0,5.0
2022/02/27,0,6.0
2022/02/28,0,9.0
2022/03/01,0,10.0
2022/03/02,0,15.0
2022/03/03,0,29.0
2022/03/04,0,45.0
2022/03/05,0,73.0
2022/03/06,0,118.0
2022/03/07,0,169.0
2022/03/08,0,231.0
2022/03/09,0,307.0
2022/03/10,0,371.0
2022/03/11,0,449.0
2022/03/12,0,513.0
2022/03/13,0,641.0
2022/03/14,0,771.0
2022/03/15,0,968.0
2022/03/16,0,1118.0
2022/03/17,0,1321.0
2022/03/18,0,1687.0
2022/03/19,0,2179.0
2022/03/20,0,2913.0
2022/03/21,0,3778.0
2022/03/22,0,4755.0
2022/03/23,0,5734.0
2022/03/24,0,7314.0
2022/03/25,0,9545.0
2022/03/26,0,12176.0
2022/03/27,0,15626.0
2022/03/28,0,20007.0
