date,population shift,confirm_adds,confirm
2020/02/03,0,10,203
2020/02/06,0,14,257
2020/02/07,0,20,277
2020/02/08,0,9,286
2020/02/09,0,7,293
2020/02/10,0,7,302
2020/02/11,0,4,306
2020/02/12,0,7,313
2020/02/13,0,6,319
2020/02/14,0,8,326
2020/02/15,0,2,328
2020/02/16,0,3,331
2020/02/17,0,2,333
2020/02/18,0,0,333
2020/02/19,0,0,333
2020/02/20,0,1,334
2020/02/21,0,0,334
2020/02/22,0,1,335
2020/02/23,0,0,335
2020/02/24,0,0,335
2020/02/25,0,0,336
2020/02/26,0,1,337
2020/02/27,0,0,337
2020/02/28,0,0,337
2020/02/29,0,0,337
2020/03/01,0,0,337
2020/03/02,0,1,338
2020/03/03,0,0,338
2020/03/04,0,1,339
2020/03/05,0,3,342
2020/03/06,0,0,342
2020/03/07,0,0,342
2020/03/08,0,0,342
2020/03/09,0,2,344
2020/03/10,0,0,344
2020/03/11,0,0,344
2020/03/12,0,2,346
2020/03/13,0,4,350
2020/03/14,0,3,353
2020/03/15,0,2,355
2020/03/16,0,3,358
2020/03/17,0,3,361
2020/03/18,0,8,368
2020/03/19,0,8,371
2020/03/20,0,9,380
2020/03/21,0,14,394
2020/03/22,0,10,404
2020/03/23,0,10,414
2020/03/24,0,19,433
2020/03/25,0,18,451
2020/03/26,0,17,468
2020/03/27,0,17,485
2020/03/28,0,7,492
2020/03/29,0,6,498
2020/03/30,0,11,509
2020/03/31,0,7,516
2020/04/01,0,6,522
2020/04/02,0,4,526
2020/04/03,0,3,529
2020/04/04,0,2,531
2020/04/05,0,5,536
2020/04/06,0,2,538
2020/04/07,0,5,543
2020/04/08,0,9,552
2020/04/09,0,3,555
2020/04/10,0,0,555
2020/04/11,0,52,607
2020/04/12,0,11,618
2020/04/13,0,0,618
2020/04/14,0,4,622
2020/04/15,0,6,628
2020/04/16,0,0,628
2020/04/17,0,0,628
2020/04/18,0,7,635
2020/04/19,0,3,638
2020/04/20,0,0,638
2020/04/21,0,1,639
2020/04/22,0,1,640
2020/04/23,0,1,641
2020/04/24,0,,641
2020/04/25,0,1,642
2020/04/26,0,0,642
2020/04/27,0,2,644
2020/04/28,0,1,645
2020/04/29,0,2,647
2020/04/30,0,5,652
2020/05/01,0,0,652
2020/05/02,0,1,653
2020/05/03,0,2,655
2020/05/04,0,1,656
2020/05/05,0,0,656
2020/05/06,0,1,657
2020/05/07,0,0,657
2020/05/08,0,0,657
2020/05/09,0,2,659
2020/05/10,0,0,659
2020/05/11,0,0,659
2020/05/12,0,1,660
2020/05/13,0,0,660
2020/05/14,0,0,660
2020/05/15,0,5,665
2020/05/16,0,0,665
2020/05/17,0,1,666
2020/05/18,0,0,666
2020/05/19,0,0,666
2020/05/20,0,1,667
2020/05/21,0,0,667
2020/05/22,0,0,667
2020/05/23,0,1,668
2020/05/24,0,0,668
2020/05/25,0,1,669
2020/05/26,0,1,670
2020/05/27,0,1,671
2020/05/28,0,0,671
2020/05/29,0,1,672
2020/05/30,0,0,672
2020/05/31,0,0,672
2020/06/01,0,1,673
2020/06/02,0,0,673
2020/06/03,0,0,673
2020/06/04,0,4,677
2020/06/05,0,0,677
2020/06/06,0,0,677
2020/06/07,0,1,678
2020/06/08,0,0,678
2020/06/09,0,0,678
2020/06/10,0,6,684
2020/06/11,0,5,689
2020/06/12,0,1,690
2020/06/13,0,1,691
2020/06/14,0,1,692
2020/06/15,0,3,695
2020/06/16,0,0,695
2020/06/17,0,2,697
2020/06/18,0,0,697
2020/06/19,0,1,698
2020/06/20,0,0,698
2020/06/21,0,3,701
2020/06/22,0,0,701
2020/06/23,0,2,703
2020/06/24,0,0,703
2020/06/25,0,2,705
2020/06/26,0,1,706
2020/06/27,0,1,707
2020/06/28,0,1,708
2020/06/29,0,4,712
2020/06/30,0,0,712
2020/07/01,0,1,713
2020/07/02,0,1,714
2020/07/03,0,1,715
2020/07/04,0,1,716
2020/07/05,0,0,716
2020/07/06,0,2,718
2020/07/07,0,0,718
2020/07/08,0,3,721
2020/07/09,0,1,722
2020/07/10,0,0,722
2020/07/11,0,2,724
2020/07/12,0,1,725
2020/07/13,0,3,728
2020/07/14,0,3,731
2020/07/15,0,1,732
2020/07/16,0,1,733
2020/07/17,0,0,733
2020/07/18,0,0,733
2020/07/19,0,0,733
2020/07/20,0,2,735
2020/07/21,0,2,737
2020/07/22,0,1,738
2020/07/23,0,1,739
2020/07/24,0,2,741
2020/07/25,0,0,741
2020/07/26,0,0,741
2020/07/27,0,2,743
2020/07/28,0,1,744
2020/07/29,0,0,744
2020/07/30,0,0,744
2020/07/31,0,4,748
2020/08/01,0,1,749
2020/08/02,0,0,749
2020/08/03,0,1,750
2020/08/04,0,2,752
2020/08/05,0,5,757
2020/08/06,0,7,764
2020/08/07,0,2,766
2020/08/08,0,2,768
2020/08/09,0,18,786
2020/08/10,0,8,794
2020/08/11,0,4,798
2020/08/12,0,2,800
2020/08/13,0,16,816
2020/08/14,0,4,820
2020/08/15,0,5,825
2020/08/16,0,3,828
2020/08/17,0,14,842
2020/08/18,0,8,850
2020/08/19,0,1,851
2020/08/20,0,11,862
2020/08/21,0,13,875
2020/08/22,0,0,875
2020/08/23,0,5,880
2020/08/24,0,2,882
2020/08/25,0,4,886
2020/08/26,0,2,888
2020/08/27,0,3,891
2020/08/28,0,3,894
2020/08/29,0,3,897
2020/08/30,0,6,903
2020/08/31,0,1,904
2020/09/01,0,4,908
2020/09/02,0,0,908
2020/09/03,0,5,913
2020/09/04,0,3,916
2020/09/05,0,2,918
2020/09/06,0,4,922
2020/09/07,0,0,922
2020/09/08,0,1,923
2020/09/09,0,6,929
2020/09/10,0,8,937
2020/09/11,0,2,939
2020/09/12,0,3,942
2020/09/13,0,5,947
2020/09/14,0,1,948
2020/09/15,0,2,950
2020/09/16,0,4,954
2020/09/17,0,12,966
2020/09/18,0,2,968
2020/09/19,0,4,972
2020/09/20,0,2,974
2020/09/21,0,1,975
2020/09/22,0,0,975
2020/09/23,0,2,977
2020/09/24,0,4,981
2020/09/25,0,0,981
2020/09/26,0,1,982
2020/09/27,0,10,992
2020/09/28,0,5,997
2020/09/29,0,2,999
2020/09/30,0,7,1006
2020/10/01,0,1,1007
2020/10/02,0,4,1011
2020/10/03,0,1,1012
2020/10/04,0,10,1022
2020/10/05,0,2,1024
2020/10/06,0,1,1025
2020/10/07,0,5,1030
2020/10/08,0,6,1036
2020/10/09,0,2,1038
2020/10/10,0,10,1048
2020/10/11,0,5,1053
2020/10/12,0,3,1056
2020/10/13,0,5,1061
2020/10/14,0,3,1064
2020/10/15,0,11,1075
2020/10/16,0,5,1080
2020/10/17,0,5,1085
2020/10/18,0,5,1090
2020/10/19,0,5,1095
2020/10/20,0,2,1097
2020/10/21,0,8,1105
2020/10/22,0,9,1114
2020/10/23,0,9,1123
2020/10/24,0,5,1128
2020/10/25,0,11,1139
2020/10/26,0,3,1142
2020/10/27,0,7,1149
2020/10/28,0,6,1155
2020/10/29,0,13,1168
2020/10/30,0,8,1176
2020/10/31,0,5,1181
2020/11/01,0,6,1187
2020/11/02,0,9,1196
2020/11/03,0,4,1200
